InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
557320,15056BL,EDWARDIAN PARASOL BLACK,24,20/06/2011 08:50,5.95,15854.0,United Kingdom
558557,22730,ALARM CLOCK BAKELIKE IVORY,12,30/06/2011 13:17,3.75,13282.0,United Kingdom
566718,15056BL,EDWARDIAN PARASOL BLACK,36,14/09/2011 12:25,5.95,15854.0,United Kingdom
565144,21930,JUMBO STORAGE BAG SKULLS,20,01/09/2011 13:50,2.08,16456.0,United Kingdom
560026,21668,RED STRIPE CERAMIC DRAWER KNOB,12,14/07/2011 13:11,1.25,16928.0,United Kingdom
566623,21788,KIDS RAIN MAC BLUE,24,14/09/2011 09:31,0.85,12756.0,Japan
557961,23188,VINTAGE  2 METER FOLDING RULER,12,24/06/2011 08:40,1.65,18257.0,United Kingdom
560284,84879,ASSORTED COLOUR BIRD ORNAMENT,16,18/07/2011 09:15,1.69,13705.0,United Kingdom
561120,23344,JUMBO BAG 50'S CHRISTMAS ,10,25/07/2011 12:50,2.08,15835.0,United Kingdom
564351,21915,RED  HARMONICA IN BOX ,240,24/08/2011 14:59,1.06,13881.0,United Kingdom
561202,23546,WRAP PAISLEY PARK ,25,25/07/2011 15:14,0.42,17705.0,United Kingdom
562107,47599B,BLUE PARTY BAGS ,100,02/08/2011 15:29,1.69,13805.0,United Kingdom
556572,22083,PAPER CHAIN KIT RETROSPOT,1,13/06/2011 13:25,2.95,15311.0,United Kingdom
563711,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,18/08/2011 15:41,1.25,16928.0,United Kingdom
561115,22191,IVORY DINER WALL CLOCK,2,25/07/2011 12:12,8.5,17675.0,United Kingdom
559927,22469,HEART OF WICKER SMALL,40,13/07/2011 17:03,1.45,17567.0,United Kingdom
558622,47566,PARTY BUNTING,8,30/06/2011 16:51,4.95,16357.0,United Kingdom
562093,20679,EDWARDIAN PARASOL RED,6,02/08/2011 12:59,4.95,13777.0,United Kingdom
572874,22748,POPPY'S PLAYHOUSE KITCHEN,12,26/10/2011 13:28,2.1,13408.0,United Kingdom
557295,22383,LUNCH BAG SUKI DESIGN ,10,19/06/2011 13:37,1.65,12724.0,France
570864,22147,FELTCRAFT BUTTERFLY HEARTS,12,12/10/2011 15:41,1.45,16945.0,United Kingdom
572337,22355,CHARLOTTE BAG SUKI DESIGN,100,24/10/2011 10:30,0.72,14607.0,United Kingdom
561701,22551,PLASTERS IN TIN SPACEBOY,12,29/07/2011 10:41,1.65,13102.0,United Kingdom
567370,85152,HAND OVER THE CHOCOLATE   SIGN ,12,20/09/2011 09:13,2.1,14236.0,United Kingdom
556822,21172,PARTY METAL SIGN ,48,15/06/2011 10:22,1.45,17155.0,United Kingdom
565673,22112,CHOCOLATE HOT WATER BOTTLE,9,06/09/2011 09:45,4.95,14441.0,United Kingdom
564473,23199,JUMBO BAG APPLES,10,25/08/2011 12:33,2.08,16722.0,United Kingdom
568515,21977,PACK OF 60 PINK PAISLEY CAKE CASES,48,27/09/2011 12:44,0.55,14466.0,United Kingdom
561532,23293,SET OF 12 FAIRY CAKE BAKING CASES,144,28/07/2011 09:30,0.72,15061.0,United Kingdom
572067,23344,JUMBO BAG 50'S CHRISTMAS ,10,20/10/2011 13:13,2.08,16099.0,United Kingdom
574756,21930,JUMBO STORAGE BAG SKULLS,10,07/11/2011 09:40,2.08,13534.0,United Kingdom
559006,75049L,LARGE CIRCULAR MIRROR MOBILE,24,05/07/2011 12:41,1.25,14905.0,United Kingdom
558111,23091,ZINC HERB GARDEN CONTAINER,1,26/06/2011 16:06,6.25,17114.0,United Kingdom
564895,21843,RED RETROSPOT CAKE STAND,1,31/08/2011 10:55,10.95,15596.0,United Kingdom
565153,85014B,RED RETROSPOT UMBRELLA,6,01/09/2011 14:47,5.95,18241.0,United Kingdom
563180,22224,WHITE LOVEBIRD LANTERN,6,12/08/2011 14:25,2.95,16209.0,United Kingdom
574348,22865,HAND WARMER OWL DESIGN,36,04/11/2011 10:28,2.1,13756.0,United Kingdom
561075,23322,LARGE WHITE HEART OF WICKER,6,24/07/2011 15:51,2.95,16458.0,United Kingdom
566718,20679,EDWARDIAN PARASOL RED,12,14/09/2011 12:25,5.95,15854.0,United Kingdom
569321,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,03/10/2011 12:23,1.25,,United Kingdom
573421,85014A,BLACK/BLUE POLKADOT UMBRELLA,48,31/10/2011 09:50,4.95,14292.0,United Kingdom
557961,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,24/06/2011 08:40,5.95,18257.0,United Kingdom
564376,22752,SET 7 BABUSHKA NESTING BOXES,2,25/08/2011 10:25,8.5,14196.0,United Kingdom
564058,21871,SAVE THE PLANET MUG,12,22/08/2011 14:23,1.25,17676.0,United Kingdom
557320,15056N,EDWARDIAN PARASOL NATURAL,12,20/06/2011 08:50,5.95,15854.0,United Kingdom
572874,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,26/10/2011 13:28,1.25,13408.0,United Kingdom
562788,22356,CHARLOTTE BAG PINK POLKADOT,10,09/08/2011 13:48,0.85,17669.0,United Kingdom
557951,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,23/06/2011 17:53,2.08,14825.0,United Kingdom
559707,15056N,EDWARDIAN PARASOL NATURAL,12,12/07/2011 10:04,5.95,12358.0,Austria
563835,23199,JUMBO BAG APPLES,10,19/08/2011 12:53,2.08,13242.0,United Kingdom
561701,23251,VINTAGE RED ENAMEL TRIM MUG ,12,29/07/2011 10:41,1.25,13102.0,United Kingdom
563033,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1,11/08/2011 14:48,1.25,16928.0,United Kingdom
572067,23202,JUMBO BAG VINTAGE LEAF,10,20/10/2011 13:13,2.08,16099.0,United Kingdom
574039,22332,SKULLS PARTY BAG + STICKER SET,12,02/11/2011 12:57,1.65,17800.0,United Kingdom
558430,23200,JUMBO BAG PEARS,10,29/06/2011 12:12,2.08,13238.0,United Kingdom
555861,85099B,JUMBO BAG RED RETROSPOT,20,07/06/2011 14:27,2.08,12990.0,United Kingdom
575984,23200,JUMBO BAG PEARS,5,13/11/2011 13:50,2.08,17068.0,United Kingdom
563180,22498,WOODEN REGATTA BUNTING,6,12/08/2011 14:25,5.95,16209.0,United Kingdom
565153,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,01/09/2011 14:47,0.55,18241.0,United Kingdom
556203,POST,POSTAGE,1,09/06/2011 13:09,15.0,12399.0,Belgium
556936,22701,PINK DOG BOWL,2,15/06/2011 16:04,2.95,,United Kingdom
565153,84991,60 TEATIME FAIRY CAKE CASES,24,01/09/2011 14:47,0.55,18241.0,United Kingdom
560820,22619,SET OF 6 SOLDIER SKITTLES,3,21/07/2011 10:59,3.75,17811.0,United Kingdom
576088,22730,ALARM CLOCK BAKELIKE IVORY,72,14/11/2011 08:41,4.18,17450.0,United Kingdom
569836,20969,RED FLORAL FELTCRAFT SHOULDER BAG,24,06/10/2011 13:06,3.75,12910.0,United Kingdom
564902,23321,SMALL WHITE HEART OF WICKER,12,31/08/2011 11:50,1.65,18198.0,United Kingdom
573371,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,30/10/2011 13:34,0.85,13113.0,United Kingdom
558896,23206,LUNCH BAG APPLE DESIGN,2,04/07/2011 15:55,1.65,,United Kingdom
573746,23203,JUMBO BAG VINTAGE DOILY ,10,01/11/2011 09:01,2.08,13461.0,United Kingdom
564902,22138,BAKING SET 9 PIECE RETROSPOT ,6,31/08/2011 11:50,4.95,18198.0,United Kingdom
573008,22713,CARD I LOVE LONDON ,8,27/10/2011 12:26,0.36,12901.0,United Kingdom
567508,23028,DRAWER KNOB CRACKLE GLAZE BLUE,12,20/09/2011 14:50,1.65,17724.0,United Kingdom
560185,22563,HAPPY STENCIL CRAFT,48,15/07/2011 11:50,1.25,14676.0,United Kingdom
577356,23329,DECORATIVE WICKER HEART LARGE,24,18/11/2011 15:53,1.65,16350.0,United Kingdom
556822,22417,PACK OF 60 SPACEBOY CAKE CASES,12,15/06/2011 10:22,0.55,17155.0,United Kingdom
570101,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,48,07/10/2011 12:14,0.55,14560.0,United Kingdom
564313,21212,PACK OF 72 RETROSPOT CAKE CASES,24,24/08/2011 12:54,0.55,13728.0,United Kingdom
576916,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,30,17/11/2011 10:24,2.08,14655.0,United Kingdom
559927,21668,RED STRIPE CERAMIC DRAWER KNOB,96,13/07/2011 17:03,1.06,17567.0,United Kingdom
566284,85099B,JUMBO BAG RED RETROSPOT,10,11/09/2011 14:49,2.08,14825.0,United Kingdom
565466,23344,JUMBO BAG 50'S CHRISTMAS ,10,05/09/2011 09:48,2.08,12422.0,Australia
575501,23301,GARDENERS KNEELING PAD KEEP CALM ,12,10/11/2011 09:59,1.65,16218.0,United Kingdom
560924,22993,SET OF 4 PANTRY JELLY MOULDS,144,22/07/2011 09:01,1.06,15061.0,United Kingdom
556822,21212,PACK OF 72 RETROSPOT CAKE CASES,24,15/06/2011 10:22,0.55,17155.0,United Kingdom
567508,23298,SPOTTY BUNTING,18,20/09/2011 14:50,4.95,17724.0,United Kingdom
564473,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,25/08/2011 12:33,1.65,16722.0,United Kingdom
573421,22197,POPCORN HOLDER,100,31/10/2011 09:50,0.72,14292.0,United Kingdom
556822,23080,RED METAL BOX TOP SECRET,1,15/06/2011 10:22,8.25,17155.0,United Kingdom
